City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,Veinticinco de mayo,-35.4323,-60.1727,285.92,61,60,0.45,AR,1714253938
342,Istgah-e rah ahan-e garmsar,35.2346,52.3094,292.27,33,4,3.44,IR,1714254020
343,Lethbridge,49.7,-112.8186,285.69,66,100,7.72,CA,1714253959
344,Tvoroyri,61.5556,-6.8111,280.43,76,100,10.83,FO,1714254021
345,Polyarnyy,69.1989,33.4478,272.1,86,100,4.42,RU,1714253924
346,Lakhipur,26.0299,90.3041,297.56,52,22,1.13,IN,1714254021
347,Sarmiento,-45.5882,-69.07,282.55,50,93,12.36,AR,1714254021
348,Rio grande,-32.035,-52.0986,291.21,72,100,9.89,BR,1714253919
349,Horta,38.5333,-28.6333,288.16,74,34,3.58,PT,1714254021
350,Krasnystaw,50.9846,23.1742,285.26,82,57,3.39,PL,1714254021
351,Pekan,3.4836,103.3996,299.21,93,97,1.48,MY,1714254021
352,Tura,25.5198,90.2201,297.78,79,54,3.39,IN,1714253917
